match_id,inning,batting_team,player,runs_scored,balls_faced,strike_rate,fours,sixes
2012-01-09,1,Melbourne Stars,RJ Quiney,62,50,124.0,4,1
2012-01-09,1,Melbourne Stars,LJ Wright,117,60,195.0,8,9
2012-01-09,1,Melbourne Stars,CL White,5,4,125.0,0,0
2012-01-09,1,Melbourne Stars,MS Wade,3,3,100.0,0,0
2012-01-09,1,Melbourne Stars,DJ Hussey,8,3,266.67,2,0
2012-01-09,2,Hobart Hurricanes,PA Jaques,0,2,0.0,0,0
2012-01-09,2,Hobart Hurricanes,RJG Lockyear,23,18,127.78,2,1
2012-01-09,2,Hobart Hurricanes,TR Birt,51,21,242.86,3,5
2012-01-09,2,Hobart Hurricanes,OA Shah,55,37,148.65,3,2
2012-01-09,2,Hobart Hurricanes,TIF Triffitt,21,11,190.91,3,1
2012-01-09,2,Hobart Hurricanes,MJ Johnston,3,6,50.0,0,0
2012-01-09,2,Hobart Hurricanes,Naved-ul-Hasan,1,3,33.33,0,0
2012-01-09,2,Hobart Hurricanes,MG Hogan,2,2,100.0,0,0
2012-01-09,2,Hobart Hurricanes,JW Wells,17,12,141.67,2,0
2012-01-09,2,Hobart Hurricanes,XJ Doherty,0,1,0.0,0,0
2012-01-09,2,Hobart Hurricanes,B Laughlin,4,7,57.14,0,0
2022-01-28,1,Perth Scorchers,KR Patterson,1,4,25.0,0,0
2022-01-28,1,Perth Scorchers,JP Inglis,13,13,100.0,2,0
2022-01-28,1,Perth Scorchers,MR Marsh,5,11,45.45,1,0
2022-01-28,1,Perth Scorchers,C Munro,1,5,20.0,0,0
2022-01-28,1,Perth Scorchers,AJ Turner,54,35,154.29,4,1
2022-01-28,1,Perth Scorchers,LJ Evans,76,41,185.37,4,4
2022-01-28,1,Perth Scorchers,AC Agar,15,9,166.67,3,0
2022-01-28,1,Perth Scorchers,JA Richardson,1,2,50.0,0,0
2022-01-28,2,Sydney Sixers,H Kerr,2,4,50.0,0,0
2022-01-28,2,Sydney Sixers,NL Bertus,15,15,100.0,0,0
2022-01-28,2,Sydney Sixers,DP Hughes,42,33,127.27,2,1
2022-01-28,2,Sydney Sixers,MC Henriques,7,7,100.0,1,0
2022-01-28,2,Sydney Sixers,DT Christian,3,7,42.86,0,0
2022-01-28,2,Sydney Sixers,J Avendano,1,4,25.0,0,0
2022-01-28,2,Sydney Sixers,SA Abbott,1,9,11.11,0,0
