match_id,inning,bowling_team,player,overs_bowled,maidens,runs_conceded,wickets,extras_conceded,economy
2012-01-09,1,Hobart Hurricanes,MJ Johnston,3.0,0,29,0,2,9.67
2012-01-09,1,Hobart Hurricanes,MG Hogan,4.0,0,35,0,2,8.75
2012-01-09,1,Hobart Hurricanes,XJ Doherty,3.0,0,33,0,1,11.0
2012-01-09,1,Hobart Hurricanes,B Laughlin,4.0,0,34,1,1,8.5
2012-01-09,1,Hobart Hurricanes,RJG Lockyear,2.0,0,34,0,1,17.0
2012-01-09,1,Hobart Hurricanes,Naved-ul-Hasan,4.0,0,38,2,1,9.5
2012-01-09,2,Melbourne Stars,DJ Hussey,4.0,0,29,2,1,7.25
2012-01-09,2,Melbourne Stars,JM Bird,4.0,0,38,0,2,9.5
2012-01-09,2,Melbourne Stars,CJ McKay,4.0,0,47,1,2,11.75
2012-01-09,2,Melbourne Stars,SK Warne,4.0,0,23,2,0,5.75
2012-01-09,2,Melbourne Stars,JP Faulkner,4.0,0,47,4,2,11.75
2022-01-28,1,Sydney Sixers,SA Abbott,4.0,0,27,0,0,6.75
2022-01-28,1,Sydney Sixers,JM Bird,1.0,0,6,1,0,6.0
2022-01-28,1,Sydney Sixers,H Kerr,3.0,0,20,1,0,6.67
2022-01-28,1,Sydney Sixers,SNJ O'Keefe,4.0,0,43,2,2,10.75
2022-01-28,1,Sydney Sixers,NM Lyon,3.0,0,25,2,1,8.33
2022-01-28,1,Sydney Sixers,BJ Dwarshuis,2.0,0,22,0,1,11.0
2022-01-28,1,Sydney Sixers,DT Christian,3.0,0,28,0,1,9.33
2022-01-28,2,Perth Scorchers,JA Richardson,3.33,0,20,2,0,6.0
2022-01-28,2,Perth Scorchers,JP Behrendorff,2.0,0,12,1,1,6.0
2022-01-28,2,Perth Scorchers,AJ Turner,1.0,0,6,1,0,6.0
2022-01-28,2,Perth Scorchers,P Hatzoglou,3.0,0,14,1,5,4.67
2022-01-28,2,Perth Scorchers,AC Agar,4.0,0,25,2,0,6.25
2022-01-28,2,Perth Scorchers,AJ Tye,3.0,0,15,3,0,5.0
2014-01-08,1,Sydney Thunder,JS Floros,4.0,0,18,0,0,4.5
2014-01-08,1,Sydney Thunder,DP Nannes,4.0,0,22,3,2,5.5
2014-01-08,1,Sydney Thunder,BAW Mendis,4.0,0,41,0,1,10.25
2014-01-08,1,Sydney Thunder,GS Sandhu,4.0,0,31,2,5,7.75
2014-01-08,1,Sydney Thunder,CP Tremain,4.0,0,53,0,1,13.25
2014-01-08,2,Brisbane Heat,DL Vettori,4.0,0,26,0,1,6.5
2014-01-08,2,Brisbane Heat,DT Christian,1.0,0,6,0,0,6.0
2014-01-08,2,Brisbane Heat,MT Steketee,3.0,0,20,2,0,6.67
2014-01-08,2,Brisbane Heat,BCJ Cutting,3.0,0,29,1,0,9.67
2014-01-08,2,Brisbane Heat,JR Hopes,4.0,0,26,2,0,6.5
2014-01-08,2,Brisbane Heat,CJ Gannon,2.33,0,10,5,0,4.29
6,1,Melbourne Renegades,JK Lalor,4.0,0,49,1,1,12.25
6,1,Melbourne Renegades,P Hatzoglou,4.0,0,40,2,3,10.0
6,1,Melbourne Renegades,BAC Howell,2.0,0,22,0,0,11.0
6,1,Melbourne Renegades,KW Richardson,4.0,0,37,1,0,9.25
6,1,Melbourne Renegades,BJ Webster,4.0,0,37,0,0,9.25
6,1,Melbourne Renegades,JM Holland,2.0,0,20,0,0,10.0
6,2,Sydney Sixers,SNJ O'Keefe,3.0,0,16,3,0,5.33
6,2,Sydney Sixers,GS Sandhu,1.0,0,7,1,0,7.0
6,2,Sydney Sixers,BJ Dwarshuis,2.67,0,14,4,1,5.25
6,2,Sydney Sixers,BAD Manenti,2.0,0,11,0,0,5.5
6,2,Sydney Sixers,CR Brathwaite,2.0,0,12,2,0,6.0
46,1,Brisbane Heat,XC Bartlett,4.0,0,31,1,2,7.75
46,1,Brisbane Heat,JD Wildermuth,3.0,0,35,1,1,11.67
46,1,Brisbane Heat,MT Steketee,4.0,0,43,1,2,10.75
46,1,Brisbane Heat,MJ Swepson,4.0,0,39,0,0,9.75
46,1,Brisbane Heat,M Labuschagne,2.0,0,20,2,0,10.0
