match_id,inning,batting_team,player_out,kind,fielders
2012-01-09,1,Melbourne Stars,RJ Quiney,caught,TR Birt
2012-01-09,1,Melbourne Stars,LJ Wright,bowled,
2012-01-09,1,Melbourne Stars,MS Wade,caught,OA Shah
2012-01-09,2,Hobart Hurricanes,PA Jaques,caught,GJ Bailey
2012-01-09,2,Hobart Hurricanes,TR Birt,bowled,
2012-01-09,2,Hobart Hurricanes,RJG Lockyear,caught,RJ Quiney
2012-01-09,2,Hobart Hurricanes,TIF Triffitt,caught,MS Wade
2012-01-09,2,Hobart Hurricanes,MJ Johnston,caught,MS Wade
2012-01-09,2,Hobart Hurricanes,OA Shah,caught,SK Warne
2012-01-09,2,Hobart Hurricanes,Naved-ul-Hasan,caught,GJ Bailey
2012-01-09,2,Hobart Hurricanes,MG Hogan,caught,DJ Hussey
2012-01-09,2,Hobart Hurricanes,XJ Doherty,caught,CL White
2022-01-28,1,Perth Scorchers,KR Patterson,caught,JS Lenton
2022-01-28,1,Perth Scorchers,JP Inglis,stumped,JS Lenton
2022-01-28,1,Perth Scorchers,MR Marsh,caught,DT Christian
2022-01-28,1,Perth Scorchers,C Munro,caught,JM Bird
2022-01-28,1,Perth Scorchers,AJ Turner,caught,DP Hughes
2022-01-28,1,Perth Scorchers,AC Agar,lbw,
2022-01-28,2,Sydney Sixers,H Kerr,caught,P Hatzoglou
2022-01-28,2,Sydney Sixers,NL Bertus,caught,JP Behrendorff
2022-01-28,2,Sydney Sixers,MC Henriques,lbw,
2022-01-28,2,Sydney Sixers,DT Christian,caught,KR Patterson
2022-01-28,2,Sydney Sixers,J Avendano,bowled,
2022-01-28,2,Sydney Sixers,DP Hughes,run out,"JP Inglis, MR Marsh"
2022-01-28,2,Sydney Sixers,SA Abbott,caught,KR Patterson
2022-01-28,2,Sydney Sixers,BJ Dwarshuis,caught,JP Inglis
2022-01-28,2,Sydney Sixers,NM Lyon,bowled,
2022-01-28,2,Sydney Sixers,SNJ O'Keefe,lbw,
2014-01-08,1,Brisbane Heat,C Kieswetter,caught,MEK Hussey
2014-01-08,1,Brisbane Heat,LA Pomersbach,caught,DP Hughes
2014-01-08,1,Brisbane Heat,PJ Forrest,run out,GS Sandhu
2014-01-08,1,Brisbane Heat,DT Christian,caught,UT Khawaja
2014-01-08,1,Brisbane Heat,CA Lynn,caught,RGL Carters
2014-01-08,2,Sydney Thunder,DP Hughes,caught,PJ Forrest
2014-01-08,2,Sydney Thunder,UT Khawaja,caught,LA Pomersbach
2014-01-08,2,Sydney Thunder,KR Patterson,lbw,
2014-01-08,2,Sydney Thunder,JS Floros,bowled,
