match_id,inning,batting_team,player,runs_scored,balls_faced,strike_rate,fours,sixes
20,1,Sydney Sixers,AJ Healy,0,1,0.0,0,0
20,1,Sydney Sixers,A Gardner,14,12,116.67,2,0
20,1,Sydney Sixers,EA Perry,45,46,97.83,4,0
20,1,Sydney Sixers,EA Burns,25,17,147.06,3,1
20,1,Sydney Sixers,SJ McGlashan,0,3,0.0,0,0
20,1,Sydney Sixers,D van Niekerk,29,20,145.0,3,1
20,1,Sydney Sixers,M Kapp,1,4,25.0,0,0
20,1,Sydney Sixers,AR Reakes,11,7,157.14,1,0
20,1,Sydney Sixers,LG Smith,4,6,66.67,0,0
20,1,Sydney Sixers,SE Aley,2,3,66.67,0,0
20,2,Perth Scorchers,EJ Villani,63,43,146.51,10,1
20,2,Perth Scorchers,NE Bolton,42,49,85.71,2,1
20,2,Perth Scorchers,NR Sciver,16,11,145.45,2,0
20,2,Perth Scorchers,H Graham,13,8,162.5,2,0
20,2,Perth Scorchers,LK Ebsary,1,1,100.0,0,0
20,2,Perth Scorchers,M Carmichael,2,1,200.0,0,0
20,1,Perth Scorchers,SFM Devine,8,11,72.73,1,0
20,1,Perth Scorchers,BL Mooney,34,34,100.0,5,0
20,1,Perth Scorchers,C Piparo,1,2,50.0,0,0
20,1,Perth Scorchers,ML Green,15,17,88.24,2,0
20,1,Perth Scorchers,M Kapp,5,12,41.67,0,0
20,1,Perth Scorchers,M Carmichael,17,21,80.95,1,0
20,1,Perth Scorchers,AL Edgar,27,23,117.39,2,1
20,2,Adelaide Strikers,DJS Dottin,18,20,90.0,3,0
20,2,Adelaide Strikers,KM Mack,47,51,92.16,6,0
20,2,Adelaide Strikers,L Wolvaardt,3,6,50.0,0,0
20,2,Adelaide Strikers,TM McGrath,0,2,0.0,0,0
20,2,Adelaide Strikers,BE Patterson,4,9,44.44,0,0
20,2,Adelaide Strikers,M Penna,32,23,139.13,5,0
51,1,Hobart Hurricanes,L Lee,101,53,190.57,12,4
51,1,Hobart Hurricanes,EJ Villani,22,14,157.14,4,0
51,1,Hobart Hurricanes,BF Smith,0,2,0.0,0,0
51,1,Hobart Hurricanes,NJ Carey,24,23,104.35,2,0
51,1,Hobart Hurricanes,H Graham,55,28,196.43,3,3
51,2,Melbourne Renegades,TT Beaumont,16,10,160.0,3,0
51,2,Melbourne Renegades,G Prestwidge,9,12,75.0,1,0
51,2,Melbourne Renegades,H Kaur,0,3,0.0,0,0
51,2,Melbourne Renegades,HK Matthews,14,17,82.35,2,0
51,2,Melbourne Renegades,C Webb,5,9,55.56,0,0
51,2,Melbourne Renegades,G Wareham,14,12,116.67,2,0
51,2,Melbourne Renegades,E de Broughe,40,19,210.53,8,0
51,2,Melbourne Renegades,JE Duffin,10,11,90.91,1,0
51,2,Melbourne Renegades,JE Dooley,0,1,0.0,0,0
51,2,Melbourne Renegades,SJ Coyte,2,3,66.67,0,0
51,2,Melbourne Renegades,Sara Kennedy,0,1,0.0,0,0
10,1,Hobart Hurricanes,EG Fazackerley,6,4,150.0,0,1
10,1,Hobart Hurricanes,S Mandhana,69,38,181.58,13,0
10,1,Hobart Hurricanes,HK Matthews,42,30,140.0,4,2
10,1,Hobart Hurricanes,HC Knight,23,19,121.05,4,0
10,1,Hobart Hurricanes,CL Hall,23,17,135.29,2,0
10,1,Hobart Hurricanes,S Daffara,0,1,0.0,0,0
10,1,Hobart Hurricanes,G Redmayne,1,2,50.0,0,0
10,1,Hobart Hurricanes,SK Moloney,23,9,255.56,2,1
10,2,Melbourne Stars,L Lee,12,5,240.0,3,0
10,2,Melbourne Stars,KM Mack,5,7,71.43,0,0
10,2,Melbourne Stars,AR Reakes,31,23,134.78,6,0
10,2,Melbourne Stars,EA Osborne,16,16,100.0,0,0
10,2,Melbourne Stars,M du Preez,3,6,50.0,0,0
10,2,Melbourne Stars,GA Elwiss,7,11,63.64,0,0
10,2,Melbourne Stars,A Sutherland,23,14,164.29,3,0
10,2,Melbourne Stars,A King,9,9,100.0,0,0
10,2,Melbourne Stars,NM Hancock,1,2,50.0,0,0
10,2,Melbourne Stars,M Blows,4,5,80.0,0,0
10,2,Melbourne Stars,HL Ferling,3,3,100.0,0,0
17,1,Melbourne Stars,L Lee,76,62,122.58,8,3
17,1,Melbourne Stars,A Lanning,4,4,100.0,1,0
17,1,Melbourne Stars,M du Preez,40,35,114.29,5,0
17,1,Melbourne Stars,KM Mack,29,14,207.14,5,0
17,1,Melbourne Stars,GA Elwiss,5,4,125.0,0,0
17,1,Melbourne Stars,EA Osborne,1,1,100.0,0,0
17,2,Perth Scorchers,EJ Villani,84,53,158.49,12,2
17,2,Perth Scorchers,NE Bolton,67,52,128.85,11,0
17,2,Perth Scorchers,NR Sciver,6,6,100.0,1,0
52,1,Perth Scorchers,AE Jones,4,9,44.44,0,0
52,1,Perth Scorchers,MM Lanning,10,12,83.33,2,0
52,1,Perth Scorchers,G Redmayne,5,8,62.5,1,0
52,1,Perth Scorchers,NR Sciver,21,20,105.0,2,0
