match_id,inning,batting_team,player_out,kind,fielders
20,1,Sydney Sixers,AJ Healy,caught,M Carmichael
20,1,Sydney Sixers,A Gardner,caught,EJ Smith
20,1,Sydney Sixers,EA Burns,caught,M Hinkley
20,1,Sydney Sixers,SJ McGlashan,caught,EL King
20,1,Sydney Sixers,EA Perry,caught,EJ Villani
20,1,Sydney Sixers,D van Niekerk,caught,H Graham
20,1,Sydney Sixers,M Kapp,run out,
20,1,Sydney Sixers,LG Smith,bowled,
20,1,Sydney Sixers,AR Reakes,caught,TMM Newton
20,1,Sydney Sixers,SE Aley,run out,
20,2,Perth Scorchers,EJ Villani,caught,EA Perry
20,2,Perth Scorchers,NE Bolton,lbw,
20,2,Perth Scorchers,NR Sciver,caught,KJ Garth
20,2,Perth Scorchers,H Graham,bowled,
20,1,Perth Scorchers,SFM Devine,caught,JL Barsby
20,1,Perth Scorchers,C Piparo,caught,L Wolvaardt
20,1,Perth Scorchers,ML Green,stumped,TJ McPharlin
20,1,Perth Scorchers,BL Mooney,caught,M Penna
20,1,Perth Scorchers,M Kapp,caught,KM Mack
20,2,Adelaide Strikers,DJS Dottin,bowled,
20,2,Adelaide Strikers,L Wolvaardt,caught,P Cleary
20,2,Adelaide Strikers,TM McGrath,bowled,
20,2,Adelaide Strikers,BE Patterson,lbw,
51,1,Hobart Hurricanes,EJ Villani,caught,G Prestwidge
51,1,Hobart Hurricanes,BF Smith,bowled,
51,1,Hobart Hurricanes,NJ Carey,caught,TT Beaumont
51,2,Melbourne Renegades,TT Beaumont,caught and bowled,
51,2,Melbourne Renegades,H Kaur,caught,L Lee
51,2,Melbourne Renegades,G Prestwidge,caught,NJ Carey
51,2,Melbourne Renegades,HK Matthews,caught,BF Smith
51,2,Melbourne Renegades,C Webb,caught,R Johnston
51,2,Melbourne Renegades,G Wareham,bowled,
51,2,Melbourne Renegades,JE Duffin,caught,NE Stalenberg
51,2,Melbourne Renegades,JE Dooley,bowled,
51,2,Melbourne Renegades,SJ Coyte,caught,BF Smith
